City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
395,Loharu,IN,28.45,75.8167,85.51,66,71,8.05,broken clouds
396,Nassau,US,40.7507,-73.5829,89.33,44,20,5.01,few clouds
397,Makambako,TZ,-8.8453,34.823,58.89,65,23,9.46,few clouds
398,Blackfoot,US,43.1905,-112.345,95.05,15,17,1.36,few clouds
399,Sarkand,KZ,45.41,79.9186,56.37,39,0,5.73,clear sky
400,Ambam,CM,2.3833,11.2833,69.46,94,91,3.89,light rain
401,Fort Nelson,CA,58.8053,-122.7002,72.99,53,20,2.3,few clouds
402,Batagay-Alyta,RU,67.8006,130.4114,48.27,82,98,5.32,overcast clouds
403,Sao Felix Do Xingu,BR,-6.6447,-51.995,100.29,19,0,3.31,clear sky
404,Abashiri,JP,44.0213,144.2697,64.94,95,100,13.42,overcast clouds
405,Saint Paul,US,44.9444,-93.0933,80.11,62,40,8.05,scattered clouds
406,Bertoua,CM,4.5833,13.6833,67.3,98,100,1.95,light rain
407,Denpasar,ID,-8.65,115.2167,78.46,88,40,12.66,scattered clouds
408,Lagos De Moreno,MX,21.35,-101.9167,77.29,55,42,3.2,scattered clouds
409,Rocha,UY,-34.4833,-54.3333,49.1,62,9,18.99,clear sky
410,Kamenka,RU,51.3223,42.7678,70.86,52,100,21.83,overcast clouds
411,Mansa,IN,29.9833,75.3833,84.87,66,64,2.59,broken clouds
412,Corinto,GR,37.9407,22.9573,85.89,36,0,1.41,clear sky
413,Schroeder,BR,-26.4125,-49.0731,69.76,97,100,1.48,moderate rain
414,Beckley,US,37.7782,-81.1882,78.69,55,20,5.75,few clouds
415,Belmonte,BR,-15.8631,-38.8828,74.98,68,97,6.76,overcast clouds
416,Eureka,US,40.8021,-124.1637,81.68,88,67,4.0,broken clouds
417,Haines Junction,CA,60.7522,-137.5108,55.35,67,100,0.0,overcast clouds
418,Ambon,ID,-3.6954,128.1814,77.14,88,40,5.75,scattered clouds
419,Hare Bay,CA,48.8499,-54.0148,67.35,97,100,9.37,overcast clouds
420,Gat,IL,31.61,34.7642,80.82,100,0,2.86,clear sky
421,Abeche,TD,13.8292,20.8324,79.47,73,97,3.22,overcast clouds
422,Bemidji,US,47.4736,-94.8803,69.39,100,100,0.0,thunderstorm with heavy rain
